,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.09591341018676758,0.0073738363142667185,0.014554834365844727,0.0004787882370752801,1,1,2,0.0,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
1,0.09943408966064453,0.006025758742670622,0.015757226943969728,0.0005252087071204183,1,1,2,0.01,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.01}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
2,0.09998350143432617,0.011366748378741076,0.01593174934387207,0.0013488972161921134,1,1,2,0.1,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.1}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
3,0.09644289016723633,0.014704247955034331,0.014983177185058594,0.0020686717832584236,1,1,2,0.5,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.5}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
4,0.11050024032592773,0.016425343222793178,0.01438608169555664,0.000835557122172257,1,1,10,0.0,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.0}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
5,0.10421886444091796,0.022019625590938664,0.013634061813354493,0.0007587849273302009,1,1,10,0.01,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.01}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
6,0.11226024627685546,0.029728875579414064,0.014267921447753906,0.0008326398643968166,1,1,10,0.1,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.1}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
7,0.15041422843933105,0.012253243336651428,0.014312934875488282,0.0012629230439017481,1,1,10,0.5,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.5}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
8,0.11944422721862794,0.012641970861313462,0.013691473007202148,0.0007209616740006427,1,1,100,0.0,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 100, 'min_weight_fraction_leaf': 0.0}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
9,0.11289052963256836,0.027246938579582894,0.016238975524902343,0.002835957344988142,1,1,100,0.01,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 100, 'min_weight_fraction_leaf': 0.01}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
10,0.10884571075439453,0.02174176586697567,0.013816261291503906,0.0009179862549325791,1,1,100,0.1,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 100, 'min_weight_fraction_leaf': 0.1}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
11,0.2121002197265625,0.036786984729285106,0.01631641387939453,0.002742022705401746,1,1,100,0.5,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 100, 'min_weight_fraction_leaf': 0.5}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
12,0.15145316123962402,0.057461993680958216,0.015034008026123046,0.002002888549461443,1,1,1000,0.0,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 1000, 'min_weight_fraction_leaf': 0.0}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
13,0.11718902587890626,0.03689672210043668,0.014135217666625977,0.0012548884147008063,1,1,1000,0.01,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 1000, 'min_weight_fraction_leaf': 0.01}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
14,0.12016968727111817,0.03645710244346891,0.014463520050048828,0.0011908985315478781,1,1,1000,0.1,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 1000, 'min_weight_fraction_leaf': 0.1}",0.3944069431051109,0.3944069431051109,0.3944069431051109,0.39459720212252775,0.39459720212252775,0.39448304671207757,9.320750232692665e-05,121
